,Company Name,Rating,Review Count,Min Project Size,Hourly Rate,Location
0,Hyperlink InfoSystem,4.8,97,"$10,000+",< $25 / hr,"Ahmedabad, India"
1,Algoworks,4.9,67,"$10,000+",$25 - $49 / hr,"Sunnyvale, CA"
2,Emizen Tech,4.9,68,"$5,000+",< $25 / hr,"Jaipur, India"
3,The NineHertz,4.8,78,"$5,000+",< $25 / hr,"Cincinnati, OH"
4,Blue Label Labs,4.8,47,"$75,000+",$100 - $149 / hr,"New York, NY"
5,Netguru,4.8,40,"$25,000+",$50 - $99 / hr,"PoznaÅ„, Poland"
6,Innowise Group,4.9,15,"$5,000+",$50 - $99 / hr,"St. Petersburg, FL"
7,MobiDev,5.0,13,"$10,000+",$50 - $99 / hr,"Norcross, GA"
8,techahead,4.8,65,"$25,000+",$25 - $49 / hr,"Agoura Hills, CA"
9,Sidebench,4.9,39,"$50,000+",$150 - $199 / hr,"Santa Monica, CA"
10,Appinventiv,4.7,72,"$50,000+",$25 - $49 / hr,"Manhattan, NY"
11,CodigoDelSur,4.8,35,"$100,000+",$150 - $199 / hr,"Montevideo, Uruguay"
12,KitelyTech,4.9,22,"$25,000+",Undisclosed,"Chicago, IL"
13,3 SIDED CUBE,4.9,29,"$50,000+",$100 - $149 / hr,"Bournemouth, United Kingdom"
14,itCraft,5.0,52,"$50,000+",$50 - $99 / hr,"Warszawa, Poland"
15,Cheesecake Labs,4.9,37,"$50,000+",$50 - $99 / hr,"San Francisco, CA"
16,Utility,4.8,25,"$50,000+",$100 - $149 / hr,"New York, NY"
17,Radiansys Inc,5.0,11,"$10,000+",< $25 / hr,"Gurugram, India"
18,Zudu,5.0,14,"$10,000+",$50 - $99 / hr,"Dundee, United Kingdom"
19,Geniusee,5.0,38,"$25,000+",$25 - $49 / hr,"Kyiv, Ukraine"
20,appssemble,5.0,18,"$10,000+",$50 - $99 / hr,"Cluj-Napoca, Romania"
21,NMG Technologies,4.7,32,"$1,000+",$25 - $49 / hr,"Las Vegas, NV"
22,Michigan Software Labs,4.9,8,"$25,000+",$150 - $199 / hr,"Ada, MI"
23,Tapptitude,5.0,48,"$25,000+",$50 - $99 / hr,"Cluj-Napoca, Romania"
24,Dedicated Developers,5.0,30,"$25,000+",$50 - $99 / hr,"Alpharetta, GA"
25,mTraction Enterprise,4.7,42,"$25,000+",$25 - $49 / hr,Singapore
26,Konstant Infosolutions,4.8,117,"$5,000+",< $25 / hr,"Jaipur, India"
27,RichestSoft,4.8,44,"$1,000+",< $25 / hr,"Sahibzada Ajit Singh Nagar, India"
28,Grey Chain,5.0,16,"$10,000+",< $25 / hr,"White Plains, NY"
29,Xmartlabs,5.0,24,"$10,000+",$50 - $99 / hr,"Montevideo, Uruguay"
30,MindSea,5.0,23,"$10,000+",$100 - $149 / hr,"Halifax, Canada"
31,Infinum,4.8,38,"$25,000+",$100 - $149 / hr,"New York City, NY"
32,RV Technologies,4.8,50,"$1,000+",< $25 / hr,"Sahibzada Ajit Singh Nagar, India"
33,Wolfpack Digital,5.0,37,"$10,000+",$50 - $99 / hr,"Cluj-Napoca, Romania"
34,Quytech,4.7,44,"$10,000+",< $25 / hr,"Gurugram, India"
35,Halcyon Mobile,4.9,23,"$25,000+",$50 - $99 / hr,"New York, NY"
36,3Advance,5.0,17,"$25,000+",$100 - $149 / hr,"Arlington, VA"
37,Tapston,5.0,21,"$25,000+",$25 - $49 / hr,"Budva, Montenegro"
38,Glance,4.8,12,"$75,000+",$100 - $149 / hr,"London, United Kingdom"
39,Appventurez,4.5,23,"$5,000+",< $25 / hr,"Noida, India"
